state_name,state_abbreviation,state_FIPS,county_name,county_FIPS,county_pop_lat,county_pop_lon,wtk_gid,wtk_lat,wtk_lon,nsrdb_gid,nsrdb_lat,nsrdb_lon,bchrrr_gid,bchrrr_lat,bchrrr_lon,sup3rcc_gid,sup3rcc_lat,sup3rcc_lon
Nebraska,NE,31000,Gage County,31067,40.280867,-96.713547,1256874,40.27561,-96.717224,704483,40.29,-96.7,1256874,40.27561,-96.717224,372438,40.261448,-96.705
Nebraska,NE,31000,Garden County,31069,41.429502,-102.323908,987150,41.428352,-102.312805,553343,41.41,-102.34,987150,41.428352,-102.312805,333963,41.42779,-102.33
Nebraska,NE,31000,Garfield County,31071,41.803659,-99.104096,1137772,41.811604,-99.10559,640478,41.81,-99.1,1137772,41.811604,-99.10559,322235,41.786663,-99.09
Nebraska,NE,31000,Gosper County,31073,40.594433,-99.826844,1098098,40.59829,-99.82648,620909,40.61,-99.82,1098098,40.59829,-99.82648,362044,40.575462,-99.81
Nebraska,NE,31000,Grant County,31075,41.969602,-101.734564,1013900,41.963676,-101.74286,569210,41.97,-101.74,1013900,41.963676,-101.74286,316276,41.966103,-101.745
Nebraska,NE,31000,Greeley County,31077,41.555312,-98.499327,1167756,41.54859,-98.4957,656907,41.57,-98.5,1167756,41.54859,-98.4957,329623,41.56237,-98.505
Nebraska,NE,31000,Hall County,31079,40.916311,-98.377837,1172730,40.919624,-98.37143,660220,40.93,-98.38,1172730,40.919624,-98.37143,350276,40.93434,-98.37
Nebraska,NE,31000,Hamilton County,31081,40.879511,-98.022958,1190275,40.87108,-98.025696,670135,40.89,-98.02,1190275,40.87108,-98.025696,351759,40.88948,-98.01
Nebraska,NE,31000,Harlan County,31083,40.14561,-99.40653,1117822,40.14838,-99.40976,631802,40.13,-99.42,1117822,40.14838,-99.40976,376803,40.126865,-99.405
Nebraska,NE,31000,Hayes County,31085,40.500834,-101.049755,1039382,40.50987,-101.04306,587425,40.49,-101.06,1039382,40.50987,-101.04306,364966,40.485744,-101.07
Nebraska,NE,31000,Hitchcock County,31087,40.210971,-101.004664,1040501,40.214798,-100.994354,588507,40.21,-101.02,1040501,40.214798,-100.994354,373817,40.216587,-101.025
Nebraska,NE,31000,Holt County,31089,42.460458,-98.743996,1157792,42.454224,-98.73578,650299,42.45,-98.74,1157792,42.454224,-98.73578,300118,42.459557,-98.73
Nebraska,NE,31000,Hooker County,31091,42.010664,-101.050544,1045140,42.017265,-101.04578,587387,42.01,-101.06,1045140,42.017265,-101.04578,314816,42.01096,-101.07
Nebraska,NE,31000,Howard County,31093,41.189163,-98.489627,1167737,41.19579,-98.48108,656917,41.17,-98.5,1167737,41.19579,-98.48108,341423,41.203495,-98.505
Nebraska,NE,31000,Jefferson County,31095,40.164225,-97.141674,1234285,40.16044,-97.15268,693877,40.17,-97.14,1234285,40.16044,-97.15268,375378,40.171726,-97.155
Nebraska,NE,31000,Johnson County,31097,40.401096,-96.227751,1281961,40.407665,-96.231445,715555,40.41,-96.22,1281961,40.407665,-96.231445,368024,40.396027,-96.21
Nebraska,NE,31000,Kearney County,31099,40.507239,-98.992122,1140192,40.513897,-98.99057,643786,40.49,-98.98,1140192,40.513897,-98.99057,365012,40.485744,-99.0
Nebraska,NE,31000,Keith County,31101,41.141819,-101.699822,1012774,41.146835,-101.6897,570295,41.13,-101.7,1012774,41.146835,-101.6897,342827,41.158634,-101.7
Nebraska,NE,31000,Keya Paha County,31103,42.868933,-99.717371,1110556,42.871857,-99.720825,624116,42.85,-99.7,1110556,42.871857,-99.720825,286821,42.863293,-99.72
Nebraska,NE,31000,Kimball County,31105,41.231309,-103.661615,929599,41.228306,-103.655304,518633,41.25,-103.66,929599,41.228306,-103.655304,339833,41.248356,-103.68
Nebraska,NE,31000,Knox County,31107,42.624226,-97.782542,1205499,42.622925,-97.7825,676727,42.61,-97.78,1205499,42.622925,-97.7825,294239,42.638996,-97.785
Nebraska,NE,31000,Lancaster County,31109,40.799268,-96.671546,1259410,40.79548,-96.67432,705402,40.81,-96.66,1259410,40.79548,-96.67432,354739,40.799763,-96.66
Nebraska,NE,31000,Lincoln County,31111,41.119295,-100.789543,1053092,41.11646,-100.797485,594939,41.13,-100.78,1053092,41.11646,-100.797485,344322,41.113777,-100.8
Nebraska,NE,31000,Logan County,31113,41.499175,-100.507666,1068179,41.501377,-100.50525,602476,41.49,-100.5,1068179,41.501377,-100.50525,331053,41.51751,-100.53
Nebraska,NE,31000,Loup County,31115,41.832591,-99.416366,1122872,41.83967,-99.40671,631759,41.85,-99.42,1122872,41.83967,-99.40671,320753,41.831524,-99.405
Nebraska,NE,31000,McPherson County,31117,41.560109,-101.005066,1045115,41.553513,-101.00668,588473,41.57,-101.02,1045115,41.553513,-101.00668,329567,41.56237,-101.025
Nebraska,NE,31000,Madison County,31119,42.006359,-97.4614,1220559,42.01385,-97.46393,685524,42.01,-97.46,1220559,42.01385,-97.46393,314896,42.01096,-97.47
Nebraska,NE,31000,Merrick County,31121,41.130779,-98.037105,1190289,41.13096,-98.034424,670129,41.13,-98.02,1190289,41.13096,-98.034424,344383,41.113777,-98.055
Nebraska,NE,31000,Morrill County,31123,41.708585,-103.163032,952599,41.7101,-103.167114,531206,41.69,-103.18,952599,41.7101,-103.167114,325094,41.696945,-103.185
Nebraska,NE,31000,Nance County,31125,41.404588,-97.89618,1197857,41.412228,-97.89526,673439,41.41,-97.9,1197857,41.412228,-97.89526,335537,41.38293,-97.875
Nebraska,NE,31000,Nemaha County,31127,40.401976,-95.839182,1302025,40.407795,-95.84161,724501,40.41,-95.82,1302025,40.407795,-95.84161,368032,40.396027,-95.85
Nebraska,NE,31000,Nuckolls County,31129,40.11463,-98.061835,1186470,40.10916,-98.07324,669050,40.13,-98.06,1186470,40.10916,-98.07324,376833,40.126865,-98.055
Nebraska,NE,31000,Otoe County,31131,40.670811,-96.036886,1292007,40.667694,-96.03671,720051,40.69,-96.02,1292007,40.667694,-96.03671,359178,40.665184,-96.03
Nebraska,NE,31000,Pawnee County,31133,40.133205,-96.177369,1284454,40.129528,-96.181915,716472,40.13,-96.18,1284454,40.129528,-96.181915,376875,40.126865,-96.165
Nebraska,NE,31000,Perkins County,31135,40.844892,-101.675425,1011677,40.84917,-101.68631,571366,40.85,-101.66,1011677,40.84917,-101.68631,353153,40.84462,-101.655
Nebraska,NE,31000,Phelps County,31137,40.466364,-99.40457,1119077,40.464233,-99.403046,631794,40.45,-99.42,1119077,40.464233,-99.403046,365003,40.485744,-99.405
