County_FIPS,Year,Population
42119,2096,44294
42119,2097,44294
42119,2098,44294
42119,2099,44294
42121,2000,50328
42121,2001,50328
42121,2002,50328
42121,2003,50328
42121,2004,50328
42121,2005,50328
42121,2006,50328
42121,2007,50328
42121,2008,50328
42121,2009,50328
42121,2010,50328
42121,2011,50328
42121,2012,50328
42121,2013,50328
42121,2014,50328
42121,2015,50328
42121,2016,50328
42121,2017,50328
42121,2018,50328
42121,2019,50328
42121,2020,50328
42121,2021,50328
42121,2022,50328
42121,2023,50328
42121,2024,50328
42121,2025,50328
42121,2026,50328
42121,2027,50328
42121,2028,50328
42121,2029,50328
42121,2030,50328
42121,2031,50328
42121,2032,50328
42121,2033,50328
42121,2034,50328
42121,2035,50328
42121,2036,50328
42121,2037,50328
42121,2038,50328
42121,2039,50328
42121,2040,50328
42121,2041,50328
42121,2042,50328
42121,2043,50328
42121,2044,50328
42121,2045,50328
42121,2046,50328
42121,2047,50328
42121,2048,50328
42121,2049,50328
42121,2050,50328
42121,2051,50328
42121,2052,50328
42121,2053,50328
42121,2054,50328
42121,2055,50328
42121,2056,50328
42121,2057,50328
42121,2058,50328
42121,2059,50328
42121,2060,50328
42121,2061,50328
42121,2062,50328
42121,2063,50328
42121,2064,50328
42121,2065,50328
42121,2066,50328
42121,2067,50328
42121,2068,50328
42121,2069,50328
42121,2070,50328
42121,2071,50328
42121,2072,50328
42121,2073,50328
42121,2074,50328
42121,2075,50328
42121,2076,50328
42121,2077,50328
42121,2078,50328
42121,2079,50328
42121,2080,50328
42121,2081,50328
42121,2082,50328
42121,2083,50328
42121,2084,50328
42121,2085,50328
42121,2086,50328
42121,2087,50328
42121,2088,50328
42121,2089,50328
42121,2090,50328
42121,2091,50328
42121,2092,50328
42121,2093,50328
42121,2094,50328
42121,2095,50328
42121,2096,50328
42121,2097,50328
42121,2098,50328
42121,2099,50328
42123,2000,38911
42123,2001,38911
42123,2002,38911
42123,2003,38911
42123,2004,38911
42123,2005,38911
42123,2006,38911
42123,2007,38911
42123,2008,38911
42123,2009,38911
42123,2010,38911
42123,2011,38911
42123,2012,38911
42123,2013,38911
42123,2014,38911
42123,2015,38911
42123,2016,38911
42123,2017,38911
42123,2018,38911
42123,2019,38911
42123,2020,38911
42123,2021,38911
42123,2022,38911
42123,2023,38911
42123,2024,38911
42123,2025,38911
42123,2026,38911
42123,2027,38911
42123,2028,38911
42123,2029,38911
42123,2030,38911
42123,2031,38911
42123,2032,38911
42123,2033,38911
42123,2034,38911
42123,2035,38911
42123,2036,38911
42123,2037,38911
42123,2038,38911
42123,2039,38911
42123,2040,38911
42123,2041,38911
42123,2042,38911
42123,2043,38911
42123,2044,38911
42123,2045,38911
42123,2046,38911
42123,2047,38911
42123,2048,38911
42123,2049,38911
42123,2050,38911
42123,2051,38911
42123,2052,38911
42123,2053,38911
42123,2054,38911
42123,2055,38911
42123,2056,38911
42123,2057,38911
42123,2058,38911
42123,2059,38911
42123,2060,38911
